titles,developers
Dying Light,Techland
Dynasty Warriors: Godseekers,Omega Force
Dynasty Warriors 6,Omega Force
Dynasty Warriors 6 Empires,Omega Force
Dynasty Warriors 7,Omega Force
Dynasty Warriors 7: Xtreme Legends,Omega Force
Dynasty Warriors 7 Empires,Omega Force
Dynasty Warriors 8,Omega Force
Dynasty Warriors 8: Empires,Omega Force
Dynasty Warriors 8: Xtreme Legends•Dynasty warriors 7: XLAsia,Omega Force
Dynasty Warriors: Gundam,Omega Force
Dynasty Warriors: Gundam 2,Omega Force
Dynasty Warriors: Gundam 3,Omega Force
Dynasty Warriors: Gundam Reborn,Omega Force
Dynasty Warriors: Strikeforce,Blue Omega Entertainment
Dynasty Warriors: Strikeforce 2 HD Edition,Omega Force
E.X. Troopers,Capcom / HexaDrive
Earth Defense Force 2025,Sandlot
Earth Defense Force: Insect Armageddon,Sandlot
Earth No More,3D Realms
Earthworm Jim HD,Gameloft
EA Sports Active 2,EA Tiburon
EA Sports MMA,EA Tiburon
Eat Lead: The Return of Matt Hazard,Vicious Cycle Software
Eat Them!,FluffyLogic
Echochrome,Japan Studio
Echochrome II,Japan Studio
Eight Days,London Studio
Eiyuu Senhime,5pb.
El Chavo Kart,Effecto Studios / Slang
El Shaddai: Ascension of the Metatron,Ignition Tokyo
Elefunk,8bit Games
Elemental Monster: Online Card Game,Hudson Soft
Elevator Action Deluxe,Square Enix
The Elder Scrolls IV: Oblivion,Bethesda Game Studios
The Elder Scrolls IV: Shivering Isles,Bethesda Game Studios
The Elder Scrolls V: Skyrim,Bethesda Game Studios
Enchanted Arms,From Software
Endless Saga,Webzen
Enemy Front,CI Games
Enemy Territory: Quake Wars,Splash Damage / Underground Development
Enslaved: Odyssey to the West,Ninja Theory
Entwined,PixelOpus
Epic Mickey,Junction Point Studios
Epic Mickey 2: The Power of Two,Junction Point Studios
Escape Dead Island,Fatshark
Eternal Light,Revistronic
Eternal Sonata,tri-Crescendo
Ethan: Meteor Hunter,Seaven Studio
Eufloria,Omni Systems
Eureka Seven AO: Jungfrau no Hanabanatachi,Bandai Namco Games
Everybody Dance,London Studio
Everybody Dance 2,London Studio
Hot Shots Golf: Out of Bounds•Everybody's Golf 5JP•Everybody's Golf: World TourEU,Clap Hanz
Everyday Shooter,Queasy Games
Everyone Sing,O-Games
Explodemon,Curve Studios
Extreme Exorcism,Golden Ruby Games
EyeCreate,London Studio
Eyedentify,London Studio
The Eye of Judgment,Japan Studio
EyePet,London Studio
Eyepet & Friends,London Studio
F.E.A.R.,Monolith Productions / Day 1 Studios
F.E.A.R. 2: Project Origin,Monolith Productions
F.E.A.R. 3,Day 1 Studios
F1 2010,Codemasters Birmingham
F1 2011,Codemasters
F1 2012,Codemasters
F1 2013,Codemasters
F1 2014,Codemasters
F1 Race Stars,Codemasters
FaceBreaker,EA Canada
Faery: Legends of Avalon,Spiders
Fairy Fencer F,Compile Heart
Fairytale Fights,Playlogic Game Factory
Faith and a .45,Deadline Games
Falling Skies: The Game,Little Orbit
Fallout 3,Bethesda Game Studios
Fallout: New Vegas,Obsidian Entertainment
Family Feud,Virtuos
Family Feud Decades,Virtuos
Family Guy: Back to the Multiverse,Heavy Iron Studio
Fantastic Four: Rise of the Silver Surfer,7 Studios / Visual Concepts
Far Cry 2,Ubisoft Montreal
Far Cry 3,Ubisoft Montreal
Far Cry 3: Blood Dragon,Ubisoft Montreal
Far Cry 4,Ubisoft Montreal
Far Cry Classic,Crytek
Far Cry Compilation,Ubisoft Montreal
Far Cry The Wild Expedition,Ubisoft Montreal
Farming Simulator 13,Giants Software
Farming Simulator 15,Giants Software
Fast and Furious: Showdown,Firebrand Games
Fast Draw Showdown,Digital Leisure
Fat Princess,Titan Studios
Fatal Inertia EX,Koei Canada
Ferrari Challenge: Trofeo Pirelli,Eutechnyx
Feeding Frenzy 2: Shipwreck Showdown,PopCap Games
Ferrari: The Race Experience,Eutechnyx
Fez,Polytron Corporation
Fibbage,Jackbox Games
FIFA 08,EA Canada
FIFA 09,EA Canada
FIFA 10,EA Canada
FIFA 11,EA Canada
FIFA 12,EA Canada
FIFA 13,EA Canada
FIFA 14,EA Canada
FIFA 15,EA Canada
FIFA 16,EA Canada
FIFA 17,EA Canada
FIFA 18,EA Canada
FIFA 19,EA Canada
FIFA Street,EA Canada
FIFA Street 3,EA Canada
The Fight: Lights Out,ColdWood Interactive
Fight Night Champion,EA Canada
Fight Night Round 3,EA Canada / EA Chicago
Fight Night Round 4,EA Canada
Fighting Vipers,Sega
Final Exam,Mighty Rocket Studio
Final Fantasy X/X-2 HD Remaster,Square Enix
Final Fantasy XIII,Square Enix
Final Fantasy XIII-2,Square Enix
Final Fantasy XIV,Square Enix
Final Fantasy XIV: A Realm Reborn,Square Enix
Final Fantasy XV (Final Fantasy Versus XIII),Square Enix
"Final Fight: Double Impact (Final Fight, Magic Sword)",Capcom
Fireburst,ExDream
Fist of the North Star: Ken's Rage,Koei
Fist of the North Star: Ken's Rage 2,Koei
Fit in Six,Ubisoft
Flashback,VectorCell
Flight Control HD,Firemint
Flock!,Proper Games
Folklore,Game Republic
Foosball 2012,Grip Digital
Forest Legends: The Call of Love,Alawar
Formula One Championship Edition,Studio Liverpool
Fortress,Grin
Fracture,Day 1 Studios
Fret Nice,Tecmo
Fritz Chess,Deep Silver
Frogger Returns,Hijinx Studios
Frogger: Hyper Arcade Edition,Zombie Studios
From Dust,Ubisoft Montpellier
Front Mission Evolved,Double Helix Games
Frozen Free Fall: Snowball Fight,SuperVillain Studios
Frozen Synapse Prime,Double Eleven
Fuel,Asobo Studios
Fuel Overdose,I-FRIQIYA
Funky Lab Rat,Hydravision Entertainment
Full Auto 2: Battlelines,Pseudo Interactive
Furmins,Housemarque
Fuse,Insomniac Games
G1 Jockey 4 2007,Koei
G1 Jockey 2008,Koei
Gal Gun,Inti Creates
Galaga Legions DX,Bandai Namco Entertainment
A Game of Dwarves,Zeal Game Studio
Game of Thrones,Cyanide
Game of Thrones,Telltale Games
Gatling Gears,Vanguard Games
Gauntlet II,Sony Online Entertainment
Gekiatsu!! Pachi Game Damashi Max: Evangelion 7 x Seimei no Kodou,Fields
Generator Rex: Agent of Providence,Activision
Genji: Days of the Blade,Game Republic
Geometry Wars 3: Dimensions,Lucid Games
Geon,Strawdog Studios
Germinator,Creat Studios
Get Fit With Mel B,Lightning Fish
Get Up and Dance,O-Games
The Getaway 3,Team Soho / London Studio
Germany's Next Top Model 2011,dtp entertainment AG
G-Force,Eurocom
Ghostbusters: Sanctum of Slime,Behaviour Interactive
Ghostbusters: The Video Game,Terminal Reality / Threewave Software
Giana Sisters: Twisted Dreams,Black Forest Games
Ginsei Igo 2: Next Generation,Magnolia
Girl and Dragon: Illusion Beast Contract Cryptract,Lionsfilm Limited
Girl Fight,Kung Fu Factory
G.I. Joe: The Rise of Cobra,Double Helix Games
Gladiator VS,Acquire
GlowTag,Greenfly Studios
The Godfather: The Don's Edition,EA Redwood Shores
Go! Sports Ski,Yuke's
Go! Puzzle,Cohort Studios
Go! Sudoku,Sumo Digital
Goat Simulator,Double Eleven
God Mode,Old School Games
The Godfather II,EA Redwood Shores
God of War III,Santa Monica Studio
God of War: Ascension,Santa Monica Studio
God of War Collection,Santa Monica Studio / Bluepoint Games
God of War: Origins Collection,Santa Monica Studio / Ready at Dawn
God of War Saga,Santa Monica Studio
Godzilla (2014 video game),Natsume
Golden Axe,Sega
Golden Axe: Beast Rider,Secret Level
GoldenEye 007: Reloaded,Activision
The Golden Compass,Shiny Entertainment
Goosebumps: The Game,WayForward Technologies
Gotham City Impostors,Monolith Productions
Gran Turismo 5,Polyphony Digital
Gran Turismo 5 Prologue,Polyphony Digital
Gran Turismo 6,Polyphony Digital
Grand Slam Tennis,EA Canada
Grand Slam Tennis 2,EA Canada
Grand Theft Auto IV,Rockstar North
Grand Theft Auto V,Rockstar North
Grand Theft Auto: Episodes from Liberty City,Rockstar North
Grand Theft Auto: San Andreas,Rockstar North
Gravité,Japan Studio
Gravity Crash,Just Add Water
Grease Dance,Zoë Mode
Greed Corp,W!Games
Green Day: Rock Band,Harmonix / Demiurge Studios
Green Lantern: Rise of the Manhunters,Double Helix Games
GRID Autosport,Codemasters
GripShift,Sidhe Interactive
Groovin' Blocks,Empty Clip Studios
GTI Club+: Rally Côte d'Azur,Sumo Digital
Guacamelee!,DrinkBox Studios
Guardians of Middle-Earth,Monolith Productions
The Guided Fate Paradox,"Nippon Ichi Software, Inc."
Guilty Gear XX Λ Core Plus,Arc System Works
Guilty Gear Xrd,Arc System Works
Guitar Hero III: Legends of Rock,Neversoft
Guitar Hero 5,Neversoft
Guitar Hero: Aerosmith,Neversoft
Guitar Hero: Live,FreeStyleGames
Guitar Hero: Metallica,Neversoft
Guitar Hero Smash Hits,Beenox
Guitar Hero: Van Halen,Underground Development / Neversoft / Budcat Creations
Guitar Hero: Warriors of Rock,Neversoft
Guitar Hero World Tour,Neversoft
Gundam Battle Operation NEXT,Bandai Namco Entertainment
Gundam Breaker,Bandai Namco Games
Gundam Breaker 2,Bandai Namco Games
GundeadliGne,Rockin' Android
Gundemonium Recollection,Rockin' Android
Gunstar Heroes,Treasure
Hail to the Chimp,Wideload Games
Hajime no Ippo: The Fighting!,Bandai Namco Games
Hakuouki: Reimeiroku Nagorigusa,Idea Factory
Hamilton's Great Adventure,Fatshark
Hamsterball,TikGames
Hanasaku Manimani,5pb.
Hannah Montana: The Movie,n-Space
Happy Feet Two,KMM Games
Hard Corps: Uprising,Arc System Works
Harem Tengoku da to Omottara Yandere Jigoku Datta,Nippon Ichi Software
Harry Potter and the Deathly Hallows: Part I,EA Bright Light Studio
Harry Potter and the Deathly Hallows: Part II,EA Bright Light Studio
Harry Potter and the Half-Blood Prince,EA Bright Light Studio
Harry Potter and the Order of the Phoenix,EA UK
Hasbro Family Game Night 3,EA Bright Light
Hasbro Family Game Night 4: The Game Show,EA Bright Light
Hatsune Miku: Project DIVA F,Crypton Future Media
Hatsune Miku: Project DIVA Dreamy Theater,Sega
Hatsune Miku: Project DIVA Dreamy Theater 2nd,Sega
Hatsune Miku: Project DIVA Dreamy Theater Extend,Sega
Hatsune Miku: Project DIVA F 2nd,Crypton Future Media
Haze,Free Radical Design
Heat,Gearbox Software
Heavenly Sword,Ninja Theory
Heavy Fire: Afghanistan,Mastiff
Heavy Fire: Shattered Spear,Mastiff
Heavy Rain,Quantic Dream
Heavy Weapon,PopCap Games
Hell Yeah! Wrath of the Dead Rabbit,Arkedo Studio
Hellboy: The Science of Evil,Krome Studios
Helldivers,Arrowhead Game Studios
Heroes Over Europe,Transmission Games
High Stakes on the Vegas Strip: Poker Edition,Coresoft
High Velocity Bowling•Free! Free! BowlingJP,Mastiff
Highlander: The Game,Eidos Interactive
Higurashi no Naku Koro ni Sui,Kaga Create
Hiiro no Kakera Aizouban: Akane Iro no Tsuioku,Idea Factory
Himawari no Kyoukai to Nagai Natsuyasumi: extra vacation,Keromakura
The History Channel: Battle for the Pacific,Magic Wand Productions
History Civil War: Secret Missions,Cauldron HQ
The History Channel: Great Battles Medieval,Slitherine Software
History Legends of War: Patton,Enigma Software Productions S.L.
Hitman HD Trilogy,IO Interactive
Hitman: Absolution,IO Interactive
Hitogata Happa,Rockin' Android
HOARD,Big Sandwich Games
Hohokum,Honeyslug
Hollywood Squares,Ludia
Homefront,Kaos Studios
Hot Shots Golf: World Invitational,Clap Hanz
Hot Wheels World's Best Driver,Firebrand Games
Hotline Miami,Abstraction Games
Hotline Miami 2: Wrong Number,Dennaton Games
The House of the Dead III,Sega Wow
The House of the Dead 4,Sega Wow
The House of the Dead: Overkill,Headstrong Games
How to Survive,EKO Software
How to Train Your Dragon,Étranges Libellules
How to Train Your Dragon 2,Torus Games
Hunted: The Demon's Forge,Bethesda Softworks
Hunter's Trophy 2: America,Kylotonn Entertainment
Hunter's Trophy 2: Australia,Kylotonn Entertainment
Hustle Kings,VooFoo Studios
Hydrophobia Prophecy,Dark Energy Digital
Hyper Void,IN|Framez Technology
Hyperballoid HD,iSquared Games
Hyperdimension Neptunia,"Idea Factory, Compile Heart"
Hyperdimension Neptunia Mk2,"Idea Factory, Compile Heart"
Hyperdimension Neptunia Victory,"Idea Factory, Compile Heart"
I Am Alive,Ubisoft Shanghai
Ibb and Obb,Sparpweed
Ice Age: Dawn of the Dinosaurs,Eurocom
Ice Age: Continental Drift – Arctic Games,Behaviour Interactive
Ico & Shadow of the Colossus Collection,Team Ico
IHF Handball Challenge 14,Neutron Games
Ikki Online,Sunsoft
IL-2 Sturmovik: Birds of Prey,Gaijin Entertainment
iM@s Channel,Bandai Namco Entertainment
Imabikisō,Chunsoft
In Space We Brawl,Forge Reply
The Incredible Hulk,Edge of Reality
Indiana Jones and the Staff of Kings,Artificial Mind and Movement
inFAMOUS,Sucker Punch Productions
inFAMOUS 2,Sucker Punch Productions
Infamous: Festival of Blood,Sucker Punch Productions
Inferno Pool,Dark Energy Digital
Infinite Stratos 2: Ignition Hearts,5pb.
Injustice: Gods Among Us,NetherRealm Studios
Initial D Extreme Stage,Sega Rosso
inSANE,Volition / THQ
International Cricket 2010,Trickstar Games
International Snooker 2012,Big Head Games Ltd.
Interpol: The Trail of Dr. Chaos,TikGames
Interstellar Marines,Zero Point Software
Inversion,Saber Interactive
Invincible Tiger: The Legend of Han Tao,Blitz Arcade
Invizimals: Hidden Challenges,Novarama
Invizimals: The Lost Kingdom,"Magenta Software, Novarama"
Invokers Tournament,StormBASIC Games
Iron Man,Secret Level
Iron Man 2,Sega
Iron Sky Invasion,Reality Pump
Ion Assault HD,Coreplay
Izle,Area Effect
J-Stars Victory Vs,Spike Chunsoft
Jak and Daxter Collection,Naughty Dog
JAM Live Music Arcade,Zivix
James Bond 007: Blood Stone,Bizarre Creations
Jane's Advanced Strike Fighters,Trickstar Games
Janline R,Recom
Jeopardy!,Sony Online Entertainment
Jeremy McGrath's Offroad,2XL Games
Jet Car Stunts,Grip Digital
Jet Set Radio,Smilebit
Jetpack Joyride,Halfbrick Studios
Jikkyou Powerful Pro Yakyuu 2010,Konami
Jikkyou Powerful Pro Yakyuu 2011,Konami
Jikkyou Powerful Pro Yakyuu 2012,Konami
Jikkyou Powerful Pro Yakyuu Championship 2017,Konami
Jikkyou Powerful Pro Yakyuu: Success Special,Konami
Jimmie Johnson's Anything with an Engine,Isopod Labs
Joe Danger,Hello Games
Joe Danger 2: The Movie,Hello Games
John Carpenter's Psychopath,Titan Productions
John Daly's Prostroke Golf,Gusto Games
John Woo Presents: Stranglehold,Midway Chicago
JoJo's Bizarre Adventure HD Ver.,Capcom
JoJo's Bizarre Adventure: All Star Battle,CyberConnect2
JoJo's Bizarre Adventure: Eyes of Heaven,CyberConnect2
Journey Collector's Edition,ThatGameCompany
Joust,Sony Online Entertainment
Joysound Dive,Xing Inc.
Juiced 2: Hot Import Nights,Juice Games / Paradigm Entertainment
Judge Dee: The City God Case,BigBen Interactive
Juju,Flying Wild Hog
Jurassic Park: The Game,Telltale Games
Jurassic: The Hunted,Cauldron HQ
Just Cause 2,Avalanche Studios
Just Dance 3,Ubisoft Paris
Just Dance 4,Ubisoft Paris
Just Dance 2014,Ubisoft Paris
Just Dance 2015,Ubisoft Paris
Just Dance 2016,Ubisoft Paris
Just Dance 2017,Ubisoft Paris
Just Dance 2018,Ubisoft Paris
Just Dance Kids,Land Ho!
Just Dance Kids 2,Land Ho!
K-ON! Ho-kago Live!!,Sega
Kaihou Shoujo SIN,Sega
Kamen Rider Battride War,Bandai Namco Games
Kamen Rider Battride War Sousei,Bandai Namco Games
Kamen Rider Battride War 2,Bandai Namco Games
Kane & Lynch: Dead Men,IO Interactive
Kane & Lynch 2: Dog Days,IO Interactive
Karaoke Revolution,Blitz Games
Karaoke Revolution Presents: American Idol Encore,Blitz Games
Karaoke Revolution Presents: American Idol Encore 2,Blitz Games
Katamari Forever,Namco Bandai
Karateka,Liquid Entertainment
Kazoku Keikaku Tumugu Ito,Cyber Front
Ketsui: Kizuna Jigoku Tachi Extra,5pb.
Kick-Ass: The Game,Frozen Codebase
Kick-Ass 2: The Game,Grasshopper Manufacture
KickBeat,Zen Studios
Killing Day,Ubisoft
Killzone 2,Guerrilla Games
Killzone 3,Guerrilla Games
Killer is Dead,Grasshopper Manufacture
King's Quest,The Odd Gentlemen
King Oddball,10tons
The King of Fighters XII,SNK Playmore
The King of Fighters XIII,SNK Playmore
Kingdom Hearts HD 1.5 Remix,Square Enix
Kingdom Hearts HD 2.5 Remix,Square Enix
Kingdoms of Amalur: Reckoning,"38 Studios, Big Huge Games"
Kingdom Under Fire II,"Blueside, Phantagram"
Kite Fight,Gameshastra
Knights Contract,Namco Bandai
Knytt Underground,nifflas
Koihime Embu,BaseSon
Kono Oozora Ni Tsubasa Wo Hirogete Cruise Sign,5pb.
Krinkle Krusher,Ilusis Interactive Graphics
Kung-Fu Live,Virtual Air Guitar
Kung Fu Panda,Luxoflux
Kung Fu Panda 2,THQ
Kung Fu Panda: Showdown of Legendary Legends,Vicious Cycle Software
Kung Fu Rabbit,Bulkypix
Kung Fu Rider,Japan Studio
Kurayami,Grasshopper Manufacture
L.A. Noire,Team Bondi
L@ve Once: Mermaid's Tears,Silicon Studio
Labyrinth Legends,Creat Studios
Lair,Factor 5
Landit Bandit,The Bearded Ladies
Lara Croft and the Guardian of Light,Crystal Dynamics
The Last Guardian,Team Ico
The Last of Us,Naughty Dog
Last Rebellion,Hit Maker
The Last Remnant,Square Enix
Lead and Gold: Gangs of the Wild West,Fatshark
Learning with The PooYoos: Episode 1,Lexis Numérique
Learning with The PooYoos: Episode 2,Lexis Numérique
Legacy of Kain: Dead Sun,Climax Studios
Legendary,Spark Unlimited
Legend of the Guardians: The Owls of Ga'Hoole,Krome Studios
The Legend of Heroes: Akatsuki no Kiseki,UserJoy Technology
The Legend of Heroes: Trails in the Sky,Nihon Falcom Corp
The Legend of Heroes: Trails in the Sky Second Chapter,Nihon Falcom Corp
The Legend of Heroes: Trails in the Sky the 3rd,Nihon Falcom Corp
The Legend of Heroes: Trails of Cold Steel,Nihon Falcom Corp
The Legend of Heroes: Trails of Cold Steel 2,Nihon Falcom Corp
The Legend of Spyro: Dawn of the Dragon,Étranges Libellules
Legends of War: Patton,Enigma
Lego Batman: The Videogame,Traveller's Tales
Lego Batman 2: DC Super Heroes,Traveller's Tales
Lego Batman 3: Beyond Gotham,Traveller's Tales
Lego Dimensions Starter Pack,Traveller's Tales
Lego Harry Potter: Years 1–4,Traveller's Tales
Lego Harry Potter: Years 5-7,Traveller's Tales
Lego Indiana Jones: The Original Adventures,Traveller's Tales
Lego Indiana Jones 2: The Adventure Continues,Traveller's Tales
Lego Jurassic World,Traveller's Tales
The Lego Movie Videogame,Traveller's Tales
Lego Lord Of The Rings,Traveller's Tales
Lego Marvel's Avengers,Traveller's Tales
Lego Marvel Super Heroes,Traveller's Tales
Lego Pirates of the Caribbean: The Video Game,Traveller's Tales
Lego Rock Band,Harmonix / Traveller's Tales
Lego Star Wars: The Complete Saga,Traveller's Tales
Lego Star Wars: The Force Awakens,Traveller's Tales
Lego Star Wars III: The Clone Wars,Traveller's Tales
Lego The Hobbit,Traveller's Tales
Lemmings,Team17
Let's Dance With Mel B,Unknown
Le Tour de France,Cyanide Studio
Le Tour de France 2012,Cyanide Studio
Le Tour de France 2013,Cyanide Studio
Le Tour de France 2014,Cyanide Studio
Leisure Suit Larry: Box Office Bust,Team17
Level 22,Moving Player
Life Is Strange,Dontnod Entertainment
Lightning Returns: Final Fantasy XIII,Square Enix
"Lights, Camera, Party!",Frima Studio
Little League Baseball World Series 2010,Now Production
Limbo,Playdead
Linger in Shadows,Plastic
LittleBigPlanet,Media Molecule
LittleBigPlanet 2,Media Molecule
LittleBigPlanet 3,Sumo Digital
LittleBigPlanet Hub,Media Molecule
LittleBigPlanet Karting,United Front Games
Little Busters! Converted Edition,Key / Prototype
LocoRoco Cocoreccho,Japan Studio
Lollipop Chainsaw,Grasshopper Manufacture
London 2012,Sega
Lone Survivor: The Director's Cut,superflat games
The Lord of the Rings: Aragorn's Quest,TT Fusion / Headstrong Games
The Lord of the Rings: Conquest,Pandemic Studios
The Lord of the Rings: War in the North,Snowblind Studios
The Lord of the Rings: The White Council,EA Redwood Shores
Lost Dimension,Lancarse
Lost Planet: Extreme Condition,Capcom / K2 LLC
Lost Planet 2,Capcom
Lost Planet 3,Spark Unlimited
Lost: Via Domus,Ubisoft Montreal
Lucha Libre AAA 2010: Héroes del Ring,Immersion Software & Graphics
Luftrausers,Vlambeer
Lumines Supernova,Q Entertainment
Machi-ing Maker 4,D3 Publisher
Machinarium,Amanita Design
Macross Trial Frontier,Artdink
Macross 30: Voices across the Galaxy,Artdink
Mad Dog II: The Lost Gold,Digital Leisure
Mad Dog McCree,Digital Leisure
Mad Max,Avalanche Software
Mad Riders,Techland
Madagascar: Escape 2 Africa,Toys For Bob
Madagascar 3: The Video Game,Toys For Bob
Madagascar Kartz,Sidhe
Madden NFL 07,EA Tiburon
Madden NFL 08,EA Tiburon
Madden NFL 09,EA Tiburon
Madden NFL 10,EA Tiburon
Madden NFL 11,EA Tiburon
Madden NFL 12,EA Tiburon
Madden NFL 13,EA Tiburon
Madden NFL 15,EA Tiburon
Madden NFL 16,EA Tiburon
Madden NFL 17,EA Tiburon
Madden NFL 25,EA Tiburon
Madden NFL Arcade,EA Sports
Mafia II,2K Czech
MAG,Zipper Interactive
Magic Orbz,Creat Studios
Magic: The Gathering – Duels of the Planeswalkers,Stainless Games
Magic: The Gathering – Duels of the Planeswalkers 2012,Stainless Games
Magic: The Gathering – Duels of the Planeswalkers 2013,Stainless Games
Magic: The Gathering – Duels of the Planeswalkers 2014,Stainless Games
Magical Beat,Arc System Works
Magrunner: Dark Pulse,Frogwares
Magus,Aksys Games
Mahjong ★ Dream C Club,Tamsoft
Mahjong ★ Dream C Club Zero,Tamsoft
Mahjong Haoh: Dankyuu Battle 3,NCS
Mahjong Kakutou Club,Konami
Mahjong Taikai IV,Koei
Mahjong Tales: Ancient Wisdom,Creat Studios
Mahjong World,Recom
Mahjong World W,Recom
Mainichi Issho,Japan Studio
Majin and the Forsaken Kingdom,Game Republic
Major League Baseball 2K7,Kush Games
Major League Baseball 2K8,Kush Games
Major League Baseball 2K9,Visual Concepts
Major League Baseball 2K10,Visual Concepts
Major League Baseball 2K11,Visual Concepts
Major League Baseball 2K12,Visual Concepts
Major League Baseball 2K13,Visual Concepts
Malicious,Alvion
Makai Wars,Nippon Ichi Software
Mamoru-kun wa Norowarete Shimatta! Meikai Katsugeki Wide-Han,Cyber Front
Mamorukun Curse!,Gulti
Man vs. Wild,Scientifically Proven
Mars,Spiders
Mars: War Logs,Spiders
Marvel Pinball,Zen Studios
Marvel Puzzle Quest: Dark Reign,WayForward Technologies
Marvel Super Hero Squad: Comic Combat,THQ
Marvel Super Hero Squad: The Infinity Gauntlet,THQ
Marvel: Ultimate Alliance,Raven Software
Marvel: Ultimate Alliance 2,Vicarious Visions
Marvel vs. Capcom 3: Fate of Two Worlds,Capcom
Marvel vs. Capcom 2,Backbone Entertainment
"Marvel vs. Capcom Origins (Marvel Super Heroes, Marvel vs. Capcom: Clash of Super Heroes)",Capcom
Masquerade: The Baubles of Doom,Big Ant Studios
Mass Effect 2,BioWare / Electronic Arts
Mass Effect 3,BioWare / Electronic Arts
Mass Effect Trilogy,BioWare / Electronic Arts
Master Reboot,Wales Interactive
Mato Kurenai Yuugekitai Daybreak Special Gigs,Arc System Works
Matt Hazard: Blood Bath and Beyond,Vicious Cycle Software
Max & the Magic Marker: Gold Edition,Press Play
Max Payne 3,Rockstar Vancouver
Mayhem,Left Field Productions
