titles,genre,developers,publishers
Gladiator: Sword of Vengeance,Hack and slash,Acclaim Studios Manchester,Acclaim Entertainment
Gladius,Tactical RPG,LucasArts,LucasArts
Goblin Commander: Unleash the Horde,"Action,Real-time strategy",Jaleco Entertainment,Jaleco Entertainment
The Godfather: The Game,Action-Adventure,Electronic Arts,Electronic Arts
Godzilla: Destroy All Monsters Melee,Fighting,Pipeworks Software,Infogrames
Godzilla: Save the Earth,Fighting,Pipeworks Software,Atari
GoldenEye: Rogue Agent,First-person shooter,EA Los Angeles,EA Games
Gotcha!,First-person shooter,Sixteen Tons Entertainment,Global Star Software
Grabbed by the Ghoulies,"Action-Adventure,Beat 'em up",Rare,Xbox Game Studios
Grand Theft Auto III,Third-person Action-Adventure,Rockstar Vienna,Rockstar Games
Grand Theft Auto: San Andreas,Third-person Action-Adventure,Rockstar North,Rockstar Games
Grand Theft Auto: Vice City,Third-person Action-Adventure,Rockstar Vienna,Rockstar Games
Gravity Games Bike: Street. Vert. Dirt.,Extreme Sports,Midway Games,Midway Games
The Great Escape,"Action-Adventure,Stealth",Pivotal Games,Gotham Games
Greg Hastings Tournament Paintball,First-person shooter,WXP,Activision
Greg Hastings' Tournament Paintball Max'd,First-person shooter,WXP,Activision
Grooverider: Slot Car Thunder,Racing,King of the Jungle,Encore
Group S Challenge  CIRCUS DRIVE  (JP),Racing,Capcom,Capcom
Guilty Gear Isuka[1],Fighting,Sammy,Sammy
Guilty Gear X2#Reload[2],Fighting,Sammy,Sammy
Gun,Action-Adventure,Neversoft,Activision
Gun Metal,"Shooting,Flight Simulator",Rage Software,Majesco Entertainment
GunGriffon: Allied Strike,"Simulation,Mecha",Game Arts,Tecmo
Gunvalkyrie,Third-person shooter,Smilebit,Sega
The Guy Game,Puzzle,Topheavy Studios,Gathering of Developers
Half-Life 2,First-person shooter,Valve,Valve
Halo: Combat Evolved,First-person shooter,Bungie,Xbox Game Studios
Halo 2,First-person shooter,Bungie,Xbox Game Studios
Halo 2 Multiplayer Map Pack,First-person shooter,Bungie,Xbox Game Studios
Harry Potter and the Chamber of Secrets,Third-person Action-Adventure,Eurocom,EA Games
Harry Potter and the Goblet of Fire,Third-person Action-Adventure,EA UK,Electronic Arts
Harry Potter and the Prisoner of Azkaban,Third-person Action-Adventure,EA Games,EA Games
Harry Potter and the Sorcerer's Stone  Harry Potter and the Philosopher's Stone (PAL),Third-person Action-Adventure,Warthog Games,EA Games
Harry Potter: Quidditch World Cup,"Sports,Action",EA Games,EA Games
The Haunted Mansion,Third-person Action-Adventure,High Voltage Software,TDK Mediactive
Headhunter Redemption,Action-Adventure,Amuze,Sega
Hello Kitty: Roller RescueHello Kitty: Mission Rescue (AS),"Action-Adventure,Racing",XPEC Entertainment,Namco
Heroes of the Pacific,Combat Flight Simulator,IR Gurus,"Codemasters, Ubisoft"
High Heat Major League Baseball 2004,Sports,3DO,3DO
High Rollers Casino,"Casino,Simulation",Cinemaware,Mud Duck Productions
Hitman: Blood Money,Stealth,IO Interactive,Eidos Interactive
Hitman: Contracts,Stealth,IO Interactive,Eidos Interactive
Hitman 2: Silent Assassin,Stealth,IO Interactive,Eidos Interactive
The Hobbit,"Action-Adventure,Platformer",Inevitable Entertainment,Vivendi Universal Games
Hot Wheels: Stunt Track Challenge,Racing,Climax,THQ
The House of the Dead III,Rail Shooter,Wow Entertainment,Sega
Hulk,Action,Radical Entertainment,Vivendi Universal Games
Hummer Badlands,Racing,Eutechnyx,2K Games
Hunter: The Reckoning,Hack and slash,High Voltage Software,Interplay Entertainment
Hunter: The Reckoning: Redeemer,Hack and slash,High Voltage Software,Vivendi Universal Games
The Hustle: Detroit Streets,Billiards,Blade Interactive,Activision Value
I-Ninja,Platformer,Argonaut Games,Namco
Ice Age 2: The Meltdown,Platformer,Eurocom,Vivendi Universal Games
IHRA Drag Racing 2004,Racing,Bethesda Softworks,Bethesda Softworks
IHRA Drag Racing: Sportsman Edition,Racing,Bethesda Softworks,Bethesda Softworks
IHRA Professional Drag Racing 2005,Racing,Bethesda Softworks,Bethesda Softworks
Innocent Tears,"RPG,Tactics",Global A Entertainment,Kobi
The Incredible Hulk: Ultimate Destruction,"Third-person Action-Adventure,Beat 'em up",Radical Entertainment,Vivendi Universal Games
The IncrediblesMr. Incredible (JP),Action-Adventure,Heavy Iron Studios,THQ
The Incredibles: Rise of the Underminer,Action-Adventure,Heavy Iron Studios,THQ
Indiana Jones and the Emperor's Tomb,Third-person Action-Adventure,The Collective,LucasArts
Indigo Prophecy  Fahrenheit (PAL),"Interactive Movie,Action-Adventure",Quantic Dream,Atari
IndyCar Series,Racing,Codemasters,Codemasters
IndyCar Series 2005,Racing,Codemasters,Codemasters
Inside Pitch 2003,Sports,Xbox Game Studios,Xbox Game Studios
The Italian Job,Racing,Climax Group,Eidos Interactive
Intellivision Lives!,Arcade Compilations,Realtime Associates,Crave Entertainment
International Superstar Soccer 2,Sports,KCEO,Konami
Iron Phoenix,"Action,Fighting",InterServ International,Sega
Jacked,Racing,Sproing,Empire Interactive
Jade Empire,Action RPG,BioWare,Xbox Game Studios
James Cameron's Dark Angel,Beat 'em up,Radical Entertainment,Vivendi Universal Games
Jaws Unleashed,Action-Adventure,Appaloosa Interactive,Majesco Entertainment
Jet Set Radio Future,"Action,Sports",Smilebit,SEGA
Jikkyou World Soccer 2002,Sports,Konami,Konami
Jockey's Road,Racing (Horses),Progress Software,Xbox Game Studios
Judge Dredd: Dredd Vs. Death,First-person shooter,Rebellion Developments,Evolved Games
Juiced,Racing,Juice Games,THQ
Jurassic Park: Operation Genesis,Theme Park Simulation,Blue Tongue,Vivendi Universal GamesKonami
Just Cause,"Third-person Action-Adventure,Third-person shooter",Avalanche Studios,Eidos Interactive
Justice League Heroes,Action RPG,Snowblind Studios,Eidos Interactive
Kabuki Warriors,Fighting,Bergsala Lightweight,Crave Entertainment
Kakuto Chojin,Fighting,Dream Publishing,Xbox Game Studios
Kao the Kangaroo: Round 2,"Action-Adventure,Platformer",Tate Interactive,JoWooD ProductionsAtari
Karaoke Revolution,Karaoke,Harmonix Music,Konami
Karaoke Revolution Party,Karaoke,Harmonix Music,Konami
Kelly Slater's Pro Surfer,Extreme Sports,Treyarch,Activision
Kikou Heidan J-Phoenix +,"Action,Mecha",Takara,Takara
Kill Switch,Third-person shooter,Namco,Namco
King Arthur,Action-Adventure,Krome Studios,Konami
Kingdom Under Fire: Heroes,"Hack and slash,Real-Time Tactics","Blueside, Phantagram",Xbox Game Studios
Kingdom Under Fire: The Crusaders,"Hack and slash,Real-Time Tactics",Phantagram,Xbox Game Studios
The King of Fighters 2002,Fighting,Eolith,Eolith
The King of Fighters 2003,Fighting,Eolith,Eolith
The King of Fighters Neowave,Fighting,SNK Playmore,SNK Playmore
The King of Fighters: Maximum Impact,Fighting,SNK Playmore,SNK Playmore
Knight's Apprentice: Memorick's Adventures,Action-Adventure,Microids,XS Games
Knights of the Temple: Infernal Crusade,"Action-Adventure,Hack and slash",Starbreeze Studios,TDK Mediactive
Knights of the Temple II,"Action-Adventure,Hack and slash",Cauldron,"Playlogic Entertainment, TDK Mediactive"
Knockout Kings 2002,Fighting,EA Sports,EA Sports
Kung Fu Chaos,"Fighting,Party game",Just Add Monsters,Xbox Game Studios
L.A. Rush,Racing,Midway Games,Midway Games
Land of the Dead: Road to Fiddler's Green,First-person shooter,Brainbox Games,Groove Games
Largo Winch: Empire Under Threat,Action-Adventure,Dupuis,Ubisoft
Legacy of Kain: Defiance,Third-person Action-Adventure,Crystal Dynamics,Eidos Interactive
The Legend of Spyro: A New Beginning,"Action,Platformer",Krome Studios,Vivendi Games
Legends of Wrestling,Sports,Acclaim Studios Salt Lake City,Acclaim Entertainment
Legends of Wrestling II,Sports,Acclaim Studios Salt Lake City,Acclaim Entertainment
Lego Star Wars: The Video Game,Third-person Action-Adventure,Traveller's Tales,Eidos InteractiveGiant Interactive Entertainment
Lego Star Wars II: The Original Trilogy,Third-person Action-Adventure,Traveller's Tales,LucasArts
Leisure Suit Larry: Magna Cum Laude,Adventure,High Voltage Software,Vivendi Universal Games
Lemony Snicket's A Series of Unfortunate Events,Platformer,Adrenium Games,Activision
Links 2004,Sports,Indie Built,Xbox Game Studios
LMA Manager 2003,Sports Manager,Codemasters,Codemasters
LMA Manager 2004,Sports Manager,Codemasters,Codemasters
LMA Manager 2005,Sports Manager,Codemasters,Codemasters
LMA Manager 2006,Sports Manager,Codemasters,Codemasters
Loons: The Fight for Fame,Fighting,Warthog Games,Infogrames
The Lord of the Rings: The Fellowship of the Ring,Action-Adventure,The Whole Experience,Vivendi Universal Games
The Lord of the Rings: The Return of the King,"Hack and slash,Action RPG",Hypnos Entertainment,EA Games
The Lord of the Rings: The Third Age,RPG,EA Games,EA Games
The Lord of the Rings: The Two Towers,"Hack and slash,Action RPG",Stormfront Studios,EA Games
Lotus Challenge,Racing,Kuju Entertainment,Ignition Entertainment
Mace Griffin: Bounty Hunter,First-person shooter,Warthog Games,Vivendi Universal Games
Mad Dash Racing,Racing,Crystal Dynamics,Eidos Interactive
Madagascar,Action-Adventure,Toys for Bob,Activision
Madden NFL 06,Sports,EA Tiburon,EA Sports
Madden NFL 07,Sports,EA Tiburon,EA Sports
Madden NFL 08,Sports,EA Tiburon,EA Sports
Madden NFL 09,Sports,EA Tiburon,EA Sports
Madden NFL 2002,Sports,EA Tiburon,EA Sports
Madden NFL 2003,Sports,EA Tiburon,EA Sports
Madden NFL 2004,Sports,EA Tiburon,EA Sports
Madden NFL 2005,Sports,EA Tiburon,EA Sports
Mafia: The City of Lost Heaven,Action-Adventure,Illusion Softworks,Gathering of Developers
Magatama,Action,Xbox Game Studios Japan,Xbox Game Studios
Magic the Gathering: Battlegrounds,Real-time strategy,Secret Level,Atari
Magi Death Fight: Mahou Gakuen,Action,,
Major League Baseball 2K5,Sports,Kush Games,2K Games
Major League Baseball 2K5: World Series Edition,Sports,Kush Games,2K Games
Major League Baseball 2K6,Sports,Kush Games,2K Games
Major League Baseball 2K7,Sports,Kush Games,2K Games
Malice,Platformer,Argonaut Games,Mud Duck Productions
Manchester United Manager 2005,Sports,Codemasters,Codemasters
Manhunt,"Stealth,Survival Horror",Rockstar North,Rockstar Games
Marc Ecko's Getting Up: Contents Under Pressure,"Beat 'em up,Action-Adventure",The Collective,Atari
Marvel: Ultimate Alliance,Action RPG,Raven Software,Activision
Marvel Nemesis: Rise of the Imperfects,Fighting,Nihilistic Software,EA Games
Marvel vs. Capcom 2,Fighting,Capcom,Capcom
Mashed: Drive to Survive,Racing,Supersonic Software,Empire Interactive
Mashed: Fully Loaded,Racing,Supersonic Software,Empire Interactive
Mat Hoffman's Pro BMX 2,Sports,Rainbow Studios,Activision O2
The Matrix: Path of Neo,Third-person Action-Adventure,Shiny Entertainment,Atari
Max Payne,Third-person shooter,Rockstar Vienna,Rockstar Games
Max Payne 2: The Fall of Max Payne,Third-person shooter,Rockstar Vienna,Rockstar Games
Maximum Chase,"Action,Driving,Vehicular combat",Genki,"Majesco Entertainment, Xbox Game Studios"
MechAssault,"Action,Fighting,Mecha",Day 1 Studios,Xbox Game Studios
MechAssault 2: Lone Wolf,"Action,Fighting,Mecha",Day 1 Studios,Xbox Game Studios
Medal of Honor: European Assault,First-person shooter,EA Los Angeles,EA Games
Medal of Honor: Frontline,First-person shooter,2015,EA Games
Medal of Honor: Rising Sun,First-person shooter,EA Los Angeles,EA Games
Mega Man Anniversary Collection,"Platformer,Compilation","Atomic Planet, Capcom Production Studio 2",Capcom
Melbourne Cup Challenge  Frankie Dettori Racing (EUR),Racing (Horse),Sidhe Interactive,Home Entertainment Providers
Men of Valor,First-person shooter,2015,Vivendi Universal Games
Mercenaries: Playground of Destruction,Action-Adventure,Pandemic Studios,LucasArts
Metal Arms: Glitch in the System,"Third-person shooter,Action-Adventure",Swingin' Ape Studios,Vivendi Universal Games
Metal Dungeon,RPG,Panther Software,Xicat Interactive
Metal Gear Solid 2: Substance,"Stealth,Action-Adventure",Konami,Konami
Metal Slug 3,Run and gun,SNK Playmore,SNK Playmore
Metal Slug 4,Run and gun,Mega Enterprise,SNK Playmore
Metal Slug 5,Run and gun,SNK Playmore,SNK Playmore
Metal Wolf Chaos,Third-person shooter,FromSoftware,FromSoftware
Miami Vice,"Action,Third-person shooter",Davilex Games,Davilex Games
Micro Machines,Racing,Infogrames Sheffield House,Infogrames
Midnight Club II,Racing,Rockstar San Diego,Rockstar Games
Midnight Club 3: DUB Edition,Racing,Rockstar San Diego,Rockstar Games
Midnight Club 3: DUB Edition Remix,Racing,Rockstar San Diego,Rockstar Games
Midtown Madness 3,Racing,Digital Illusions CE,Xbox Game Studios
Midway Arcade Treasures,Arcade Compilations,Digital Eclipse Software,Midway Games
Midway Arcade Treasures 2,Arcade Compilations,Digital Eclipse Software,Midway Games
Midway Arcade Treasures 3,Arcade Compilations,Midway Games,Midway Games
Mike Tyson Heavyweight Boxing,Boxing,Atomic Planet,Codemasters
Minority Report: Everybody Runs,"Action,Beat 'em up",Treyarch,Activision
Mission Impossible: Operation Surma,"Action-Adventure,Stealth",Paradigm Entertainment,Atari
MLB Slugfest 2003,Sports,Midway Games,Midway Games
MLB Slugfest 2004,Sports,Midway Games,Midway Games
MLB Slugfest 2006,Sports,Midway Games,Midway Games
MLB Slugfest: Loaded,Sports,Midway Games,Midway Games
Mojo!,Puzzle,Farsight Technologies,Crave Entertainment
Monopoly Party,Board Game,Runecraft,Infogrames
Monster 4x4: World Circuit,Racing,Ubisoft,Ubisoft
Monster Garage,Racing,Impulse Games,Activision
Mortal Kombat: Armageddon,Fighting,Midway Games,Midway Games
Mortal Kombat: Deadly Alliance,Fighting,Midway Games,Midway Games
Mortal Kombat: Deception,Fighting,Midway Games,Midway Games
Mortal Kombat: Shaolin Monks,Fighting,Midway L.A.,Midway Games
Motocross Mania 3,Racing,Deibus Studios,"2K Games, Global Star Software"
MotoGP,Racing,Climax Studios,THQ
MotoGP 2,Racing,Climax Studios,THQ
MotoGP 3,Racing,Climax Studios,THQ
MTV Music Generator 3: This is the Remix,"Non-Game, Music,Rhythm",Mixmax,Codemasters
MTX: Mototrax,Racing (Motocross),Left Field Productions,Activision
Murakumo: Renegade Mech Pursuit  Murakumo  (JP),"Rail Shooter,Mecha",FromSoftware,"FromSoftware, Ubisoft"
Muzzle Flash,Third-person shooter,Beyond Interactive,Victor Interactive Software
MVP 06: NCAA Baseball,Sports,EA Canada,EA Sports
MVP Baseball 2003,Sports,EA Sports,EA Sports
MVP Baseball 2004,Sports,EA Sports,EA Sports
MVP Baseball 2005,Sports,EA Sports,EA Sports
MX 2002,Racing,Pacific Coast Power & Light,THQ
MX Superfly,Racing,Pacific Coast Power & Light,THQ
MX Unleashed,Racing,Rainbow Studios,THQ
MX vs. ATV Unleashed,Racing,Rainbow Studios,THQ
MX World Tour Featuring Jamie Little,Sports,Impulse Games,Crave Entertainment
Myst III: Exile,Point and Click,Presto Studios,Ubisoft
Myst IV: Revelation,Point and Click,Ubisoft Montreal,Ubisoft
N.U.D.E.@ Natural Ultimate Digital Experiment,Life Simulation,RED Entertainment,Xbox Game Studios
Nakashima Tetsuya no Othello Seminar,Tabletop game,Success,Success
Namco Museum,Arcade Compilations,Mass Media Inc.,Namco
Namco Museum 50th Anniversary,Arcade Compilations,Namco,Namco
Narc,Action-Adventure,Point of View,Midway Games
NASCAR 06: Total Team Control,Racing,EA Sports,EA Sports
NASCAR 07,Racing,EA Sports,EA Sports
NASCAR 2005: Chase for the Cup,Racing,EA Tiburon,EA Sports
NASCAR Heat 2002,Racing,Monster Games,Infogrames
NASCAR Thunder 2002,Racing,EA Sports,EA Sports
NASCAR Thunder 2003,Racing,EA Sports,EA Sports
NASCAR Thunder 2004,Racing,EA Sports,EA Sports
NBA 2K2,Sports,Visual Concepts,Sega
NBA 2K3,Sports,Visual Concepts,Sega
NBA 2K6,Sports,Visual Concepts,2K Sports
NBA 2K7,Sports,"Visual Concepts, Kush Games",2K Sports
NBA Ballers,Sports,Midway Games,Midway Games
NBA Ballers: Phenom,Sports,Midway Games,Midway Games
NBA Inside Drive 2002,Sports,High Voltage Software,Xbox Game Studios
NBA Inside Drive 2003,Sports,High Voltage Software,Xbox Game Studios
NBA Inside Drive 2004,Sports,High Voltage Software,Xbox Game Studios
NBA Jam,Sports,Acclaim Studios Austin,Acclaim Entertainment
NBA Live 06,Sports,EA Canada,EA Sports
NBA Live 07,Sports,EA Sports,EA Sports
NBA Live 2002,Sports,EA Games,EA Games
NBA Live 2003,Sports,EA Canada,EA Sports
NBA Live 2004,Sports,EA Sports,EA Sports
NBA Live 2005,Sports,EA Canada,EA Sports
NBA Starting Five,Sports,Konami,Konami
NBA Street V3,Sports,EA Canada,EA Sports BIG
NBA Street Vol. 2,Sports,EA Games,EA Games
NCAA College Basketball 2K3,Sports,Kush Games,Sega
NCAA College Football 2K3,Sports,Visual Concepts,Sega
NCAA Football 06,Sports,EA Sports,EA Sports
NCAA Football 07,Sports,EA Sports,EA Sports
NCAA Football 08,Sports,EA Sports,EA Sports
NCAA Football 2003,Sports,EA Sports,EA Sports
NCAA Football 2004,Sports,EA Sports,EA Sports
NCAA Football 2005,Sports,EA Sports,EA Sports
NCAA March Madness 06,Sports,EA Sports,EA Sports
NCAA March Madness 2004,Sports,EA Sports,EA Games
NCAA March Madness 2005,Sports,EA Canada,EA Sports
Need for Speed: Carbon,Racing,EA Canada,EA Games
Need for Speed: Hot Pursuit 2,Racing,EA Seattle,EA Games
Need for Speed: Most Wanted,Racing,EA Canada,EA Games
Need for Speed: Underground,Racing,EA Games,EA Games
Need for Speed: Underground 2,Racing,EA Canada,EA Games
Neighbours from Hell,"Puzzle,Strategy",JoWooD Vienna,JoWooD Productions
New Legends,"Action-Adventure,Hack and slash",Infinite Machine,THQ
NFL 2K2,Sports,Visual Concepts,Sega
NFL 2K3,Sports,Visual Concepts,Sega
NFL Blitz 2002,Sports,"Point of View, Inc.",Midway Games
NFL Blitz 2003,Sports,"Point of View, Inc.",Midway Games
NFL Blitz Pro,Sports,Midway Games,Midway Games
NFL Fever 2002,Sports,Xbox Game Studios,Xbox Game Studios
NFL Fever 2003,Sports,Xbox Game Studios,Xbox Game Studios
NFL Fever 2004,Sports,Xbox Game Studios,Xbox Game Studios
NFL Head Coach,Sports,EA Tiburon,EA Sports
NFL Street,Sports,EA Tiburon,EA Sports BIG
NFL Street 2,Sports,EA Tiburon,EA Sports BIG
NHL 06,Sports,EA Canada,EA Sports
NHL 07,Sports,EA Sports,EA Sports
NHL 2002,Sports,EA Sports,EA Sports
NHL 2003,Sports,EA Sports,EA Sports
NHL 2004,Sports,EA Sports,EA Sports
NHL 2005,Sports,EA Sports,EA Sports
NHL 2K3,Sports,Treyarch,Sega
NHL 2K6,Sports,Kush Games,2K Sports
NHL 2K7,Sports,"Kush Games, Visual Concepts",2K Sports
NHL Hitz 20-02,Sports,Black Box Games,Midway Games
NHL Hitz 20-03,Sports,Midway Games,Midway Games
NHL Hitz Pro,Sports,Next Level Games,Midway Games
NHL Rivals 2004,Sports,Xbox Game Studios,Xbox Game Studios
Nickelodeon Party Blast,Party game,Data Design Interactive,Infogrames
NightCaster,Action-Adventure,VR-1,Xbox Game Studios
NightCaster II: Equinox,Action-Adventure,Jaleco,Jaleco
Ninja Gaiden,"Action-Adventure,Hack and slash",Team Ninja,Tecmo
Ninja Gaiden Black,"Action-Adventure,Hack and slash",Team Ninja,Xbox Game Studios
Nobunaga no Yabou: Ranseiki,"Turn-based strategy,RPG",Koei,Koei
ObsCure,Survival Horror,Hydravision Entertainment,DreamCatcher Interactive
Oddworld: Munch's Oddysee,Platformer,Oddworld Inhabitants,Infogrames
Oddworld: Stranger's Wrath,"First-person shooter,Third-person shooter,Action-Adventure",Oddworld Inhabitants,EA Games
Open Season,Action-Adventure,Ubisoft,Ubisoft
Operation Flashpoint: Elite,Tactical shooter,Bohemia Interactive,Codemasters
Otogi: Myth of Demons,Hack and slash,FromSoftware,Sega
Otogi 2: Immortal Warriors,Hack and slash,FromSoftware,Sega
Outlaw Golf,Sports,Simon & Schuster,Simon & Schuster
Outlaw Golf 2,Sports,Hypnotix,Global Star Software
Outlaw Golf: 9 More Holes of X-Mas,Sports,Hypnotix,Simon & Schuster
Outlaw Golf: Holiday Golf (9 Holes of X-Mas),Sports,Simon & Schuster,Simon & Schuster
Outlaw Tennis,Sports,Hypnotix,Global Star Software
Outlaw Volleyball,Sports,Hypnotix,Simon & Schuster
Outlaw Volleyball: Red Hot,Sports,Hypnotix,Simon & Schuster
OutRun 2,Racing,Sumo Digital,Xbox Game Studios
OutRun 2006: Coast 2 Coast,Racing,Sumo Digital,Sega
Over the Hedge,Action,Edge of Reality,Activision
Pac-Man World 2,Platformer,Namco,Namco
Pac-Man World 3,Platformer,Blitz Games,NamcoElectronic Arts
Painkiller: Hell Wars,First-person shooter,People Can Fly,DreamCatcher Interactive
Panzer Dragoon Orta,Rail Shooter,Smilebit,Sega
Panzer Elite Action: Fields of Glory,"Simulation,Vehicular combat",ZootFly,JoWooD Productions
Pariah,First-person shooter,Digital Extremes,Groove Games
Peter Jackson's King Kong,Action-Adventure,Ubisoft Montpellier,Ubisoft
Petit Copter,Simulation,Aqua Systems,Aqua Systems
Phantasy Star Online Episode I & II,Action RPG,Sonic Team,Sega
Phantom Crash,Vehicular combat,Genki,Phantagram
Phantom Dust,"Action,Real-time strategy",Xbox Game Studios,"Majesco Entertainment, Xbox Game Studios"
Pilot Down: Behind Enemy Lines,"Action-Adventure,Stealth",Wide Games,Microids
Pinball Hall of Fame,Pinball,FarSight Studios,Crave Entertainment
Pirates of the Caribbean,"Action,RPG",Akella,Bethesda Softworks
Pirates: The Legend of Black Kat,Action-Adventure,Westwood Studios,Electronic Arts
Pitfall: The Lost Expedition,"Action,Platformer",Edge of Reality,Activision
Playboy: The Mansion,Simulation,Cyberlore Studios,"Arush Entertainment, Groove Games"
Plus Plum 2,Puzzle,Tayuko,Tayuko
PocketBike Racer,Racing,Blitz Games,King Games
Pool Shark 2,Pool,Blade Interactive,Zoo Digital Publishing
Powerdrome,Racing,Argonaut Games,Mud Duck Productions
Predator: Concrete Jungle,Action,Eurocom,Vivendi Universal Games
Prince of Persia: The Sands of Time,"Third-person Action-Adventure,Platformer,Hack and slash",Ubisoft Montreal,Ubisoft
Prince of Persia: The Two Thrones,"Third-person Action-Adventure,Platformer,Hack and slash",Ubisoft Montreal,Ubisoft
Prince of Persia: Warrior Within,"Third-person Action-Adventure,Platformer,Hack and slash",Ubisoft Montreal,Ubisoft
Prisoner of War,Stealth,Wide Games,Codemasters
